image_id,x,y,w,h,label
front107,399,381,287,35,fname
front107,463,577,461,37,nid
front107,39,509,197,86,sign
front196,1,-1,1010,637,front
front196,328,205,381,43,bname
front196,326,366,185,36,fname
front196,468,562,221,30,nid
front196,467,514,162,24,dob
front196,325,446,212,30,mname
front196,55,528,248,79,sign
front186,1,0,668,403,front
front186,308,358,149,20,nid
front186,215,120,174,24,bname
front186,214,277,130,24,mname
front186,214,177,158,13,ename
front186,310,325,108,17,dob
front186,215,225,183,21,fname
front186,31,343,171,38,sign
front187,52,19,934,586,front
front187,79,465,195,81,sign
front187,429,229,183,44,bname
front187,428,359,172,36,fname
front187,432,420,249,29,mname
front187,548,471,212,36,dob
front187,431,296,199,25,ename
front187,478,534,439,34,nid
front175,450,146,1009,641,front
front175,911,717,472,39,nid
front175,845,584,132,40,mname
front175,997,658,232,35,dob
front175,847,388,251,39,bname
front175,482,611,184,124,sign
front175,845,523,194,33,fname
front175,849,458,360,41,ename
front176,0,0,491,308,front
front176,14,250,126,40,sign
front176,223,269,111,15,nid
front176,151,90,159,18,bname
front176,151,208,100,18,mname
front176,223,245,81,13,dob
front176,151,170,126,18,fname
front168,397,233,255,53,bname
front168,401,372,267,39,fname
front168,402,309,382,31,ename
front168,400,437,188,41,mname
front168,551,509,228,28,dob
front168,4,-7,1011,653,front
front168,467,567,459,38,nid
front168,40,464,182,104,sign
front168,39,463,175,106,addr
front204,207,121,142,25,bname
front204,207,157,180,16,ename
front204,207,189,138,18,fname
front204,206,222,142,18,mname
front204,281,258,106,14,dob
front204,239,287,230,19,nid
front204,6,1,509,323,front
front204,19,234,96,43,sign
front180,17,18,322,197,front
front180,143,90,105,16,bname
front180,144,113,119,10,ename
front180,162,194,147,11,nid
front180,192,175,70,11,dob
front180,31,174,58,28,sign
front180,143,132,68,12,fname
front180,114,153,117,11,mname
front174,2,0,428,286,front
front174,200,250,91,14,nid
front174,139,199,71,17,mname
front174,139,163,118,17,fname
front174,139,91,113,17,bname
front174,139,130,97,10,ename
front174,198,229,69,11,dob
front174,24,244,107,30,sign
front179,426,234,342,53,bname
front179,13,5,1041,633,front
front179,50,511,211,84,sign
front179,585,514,235,29,dob
front179,429,311,332,32,ename
front179,426,441,177,35,mname
front179,429,380,347,33,fname
front179,499,574,471,37,nid
front159,0,0,1010,678,front
front159,462,589,222,32,nid
front159,220,61,478,40,bname
front159,319,388,187,35,fname
front159,462,542,166,24,dob
front159,320,473,177,31,mname
front163,9,1,1029,677,front
front163,314,240,408,55,bname
front163,463,584,274,40,nid
front163,559,527,218,30,dob
front163,306,373,320,45,fname
front163,309,441,252,37,mname
front163,25,483,205,83,sign
front156,0,-3,1003,642,front
front156,463,565,222,30,nid
front156,320,446,160,35,mname
front156,320,214,256,38,bname
front156,465,518,165,23,dob
front156,321,296,252,20,ename
front156,321,368,262,30,fname
front167,19,15,1028,635,front
front167,496,570,471,37,nid
front167,429,378,191,37,fname
front167,583,510,230,31,dob
front167,427,248,379,49,bname
front167,60,518,206,102,sign
front167,428,443,237,32,mname
front167,429,315,455,26,ename
front161,7,-1,1001,623,front
front161,470,558,223,30,nid
front161,330,209,173,29,bname
front161,327,438,204,35,mname
front161,60,526,248,70,sign
front161,471,511,166,25,dob
front161,329,358,271,38,fname
front161,330,290,197,19,ename
front171,555,498,219,29,dob
front171,309,217,383,49,bname
front171,461,559,275,35,nid
front171,306,415,318,50,mname
front171,301,351,289,38,fname
front171,0,5,1014,620,front
front171,31,460,191,99,sign
front171,30,460,190,98,addr
front173,156,184,74,11,nid
front173,156,168,55,8,dob
front173,111,66,137,14,bname
front173,110,117,86,14,fname
front173,110,145,93,11,mname
front173,21,176,81,23,sign
front173,1,0,337,212,front
front170,5,0,1043,651,front
front170,577,500,224,31,dob
front170,323,216,381,53,bname
front170,485,560,274,40,nid
front170,323,353,368,39,fname
front170,56,471,188,126,sign
front170,318,290,453,31,ename
front170,325,425,260,33,mname
front165,301,215,282,47,bname
front165,282,284,333,29,ename
front165,554,498,226,29,dob
front165,299,346,265,42,fname
front165,302,414,258,42,mname
front165,463,558,269,36,nid
front165,32,455,191,112,sign
front165,-11,-2,1030,636,front
front182,1,13,1028,664,front
front182,462,600,466,42,nid
front182,31,530,201,95,sign
front182,550,541,230,31,dob
front182,399,468,201,36,mname
front182,402,270,201,38,bname
front182,400,408,159,29,fname
front182,403,339,231,37,ename
front166,2,64,1024,645,front
front166,422,297,320,46,bname
front166,421,436,269,39,fname
front166,547,556,228,29,dob
front166,475,627,422,40,nid
front166,422,502,354,32,mname
front166,420,369,354,27,ename
front166,70,565,174,96,sign
front169,305,226,263,49,bname
front169,554,510,217,36,dob
front169,306,430,257,39,mname
front169,269,301,302,27,ename
front169,301,362,367,39,fname
front169,463,570,275,36,nid
front169,36,472,191,102,sign
front169,0,9,1015,640,front
front148,275,249,114,15,dob
front148,149,175,122,18,fname
front148,151,108,151,25,bname
front148,0,2,503,307,front
front148,20,230,91,45,sign
front148,156,143,151,17,ename
front148,151,209,124,17,mname
front148,230,279,136,18,nid
front148,19,230,91,46,addr
front177,8,1,328,198,front
front177,142,113,56,13,fname
front177,159,175,149,12,nid
front177,143,136,60,10,mname
front177,183,154,67,8,dob
front177,20,151,69,35,sign
front177,143,70,64,14,bname
front177,143,93,79,9,ename
front160,14,0,1250,767,front
front160,62,594,256,105,sign
front160,525,442,197,50,fname
front160,526,523,253,49,mname
front160,678,597,268,42,dob
front160,587,680,573,44,nid
front160,527,287,213,45,bname
front160,529,366,356,32,ename
front155,25,36,514,318,front
front155,261,319,232,20,nid
front155,227,154,131,26,bname
front155,307,290,112,15,dob
front155,227,256,139,20,mname
front155,228,191,149,15,ename
front155,44,287,100,44,sign
front155,228,224,78,15,fname
front153,30,-1,2305,1465,front
front153,780,481,497,82,bname
front153,1101,1288,501,73,nid
front153,779,835,892,89,fname
front153,777,1026,497,78,mname
front153,1106,1180,359,53,dob
front153,783,677,373,45,ename
front153,240,1232,479,143,sign
front128,53,41,692,437,front
front128,433,380,148,21,dob
front128,375,418,311,29,nid
front128,325,206,221,27,bname
front128,85,392,134,59,sign
front128,327,292,204,29,fname
front128,327,250,215,20,ename
front128,328,340,125,22,mname
front138,127,30,684,430,front
front138,405,319,115,24,mname
front138,407,275,271,28,fname
front138,149,350,142,75,sign
front138,406,233,204,20,ename
front138,440,404,311,27,nid
front138,408,188,246,27,bname
front138,489,359,144,20,dob
front120,443,266,526,356,front
front120,652,464,113,21,fname
front120,457,528,108,59,sign
front120,652,401,164,25,bname
front120,722,534,119,18,dob
front120,687,564,223,23,nid
front120,653,492,92,23,mname
front154,0,1,1002,620,front
front154,319,353,260,35,fname
front154,459,555,224,31,nid
front154,319,434,307,36,mname
front154,320,202,333,33,bname
front154,459,508,164,23,dob
front154,49,521,247,74,sign
front142,7,0,951,600,front
front142,446,536,211,29,nid
front142,311,194,286,39,bname
front142,309,419,293,36,mname
front142,445,490,155,24,dob
front142,310,277,224,19,ename
front142,312,344,268,31,fname
front142,53,520,236,57,sign
front146,366,332,147,18,dob
front146,250,190,238,19,ename
front146,201,277,247,26,mname
front146,198,231,210,25,fname
front146,305,372,182,24,nid
front146,26,306,116,68,sign
front146,212,142,220,31,bname
front146,-10,1,689,419,front
front130,2,1,860,539,front
front130,395,481,187,25,nid
front130,274,378,141,34,mname
front130,274,185,158,29,bname
front130,393,439,136,20,dob
front130,273,315,155,22,fname
front130,41,458,212,53,sign
front130,272,258,268,206,ename
front132,407,232,336,47,bname
front132,407,371,233,38,fname
front132,408,308,337,30,ename
front132,7,0,1019,634,front
front132,559,507,219,28,dob
front132,42,501,199,92,sign
front132,472,567,465,36,nid
front132,407,436,218,36,mname
front157,15,16,1530,962,front
front157,841,777,331,43,dob
front157,467,553,398,57,fname
front157,473,346,713,76,bname
front157,469,657,448,56,mname
front157,706,866,407,56,nid
front157,46,747,303,111,sign
front157,37,748,317,108,addr
front162,1,5,597,293,front
front162,238,180,135,17,fname
front162,240,117,237,23,bname
front162,239,204,169,17,mname
front162,267,268,251,23,nid
front162,311,236,131,14,dob
front162,239,149,228,14,ename
front162,22,230,119,46,sign
front151,1,0,1005,648,front
front151,463,568,223,32,nid
front151,325,210,268,37,bname
front151,322,364,169,35,fname
front151,324,295,231,22,ename
front151,462,521,169,25,dob
front151,323,452,184,31,mname
front151,49,534,248,72,sign
front147,52,28,1016,633,front
front147,89,489,191,127,sign
front147,519,587,272,35,nid
front147,610,527,227,28,dob
front147,358,445,334,38,mname
front147,361,380,403,39,fname
front147,424,317,345,28,ename
front147,424,243,341,44,bname
front149,0,0,998,619,front
front149,328,420,314,40,mname
front149,470,537,224,31,nid
front149,327,186,320,39,bname
front149,472,489,160,24,dob
front149,329,340,252,38,fname
front149,63,518,239,66,sign
front149,329,268,305,22,ename
front158,113,126,367,235,front
front158,282,328,171,18,nid
front158,263,282,64,14,mname
front158,265,211,69,14,bname
front158,263,258,141,16,fname
front158,124,298,77,40,sign
front158,308,304,83,12,dob
front158,263,235,80,11,ename
front152,8,-4,1015,633,front
front152,407,220,223,44,bname
front152,560,493,223,30,dob
front152,409,356,205,35,fname
front152,475,553,462,39,nid
front152,409,423,240,34,mname
front152,410,296,264,29,ename
front152,48,486,195,93,sign
front140,10,2,2825,1808,front
front140,1265,1589,625,90,nid
front140,859,1254,639,106,mname
front140,870,580,727,116,bname
front140,866,1009,1011,103,fname
front140,1268,1453,450,69,dob
front140,874,821,644,56,ename
front140,109,1482,685,209,sign
front172,76,106,1023,645,front
front172,497,470,161,43,fname
front172,548,668,416,41,nid
front172,496,538,182,40,mname
front172,497,337,335,43,bname
front172,622,597,229,38,dob
front172,118,591,206,99,sign
front172,499,409,414,28,ename
front124,39,45,1028,660,front
front124,513,613,271,41,nid
front124,602,555,227,30,dob
front124,348,405,446,42,fname
front124,352,473,337,40,mname
front124,350,273,391,50,bname
front124,84,530,187,118,sign
front125,1,4,1000,623,front
front125,391,231,305,54,bname
front125,392,307,424,31,ename
front125,390,373,230,38,fname
front125,543,505,221,28,dob
front125,296,434,268,34,mname
front125,458,565,464,36,nid
front125,20,500,205,86,sign
front144,1,0,489,307,front
front144,231,272,110,16,nid
front144,160,171,107,19,fname
front144,161,213,87,19,mname
front144,161,137,108,10,ename
front144,231,248,82,12,dob
front144,161,96,139,16,bname
front144,25,254,124,38,sign
front150,17,16,1360,838,front
front150,556,324,357,69,bname
front150,558,493,337,46,fname
front150,76,678,265,120,sign
front150,559,579,359,47,mname
front150,756,674,293,37,dob
front150,643,753,597,47,nid
front150,558,416,371,35,ename
front178,5,1,995,629,front
front178,316,206,292,39,bname
front178,312,448,291,37,mname
front178,461,560,221,31,nid
front178,316,357,252,36,fname
front178,316,291,250,20,ename
front178,458,513,168,24,dob
front178,45,530,240,74,sign
front145,2,0,1013,628,front
front145,549,494,233,37,dob
front145,398,228,276,43,bname
front145,399,299,242,27,ename
front145,33,498,201,86,sign
front145,399,423,266,36,mname
front145,465,554,455,37,nid
front145,398,357,259,36,fname
front164,1,0,1004,626,front
front164,460,562,218,30,nid
front164,319,358,314,37,fname
front164,319,292,244,19,ename
front164,320,205,322,37,bname
front164,318,440,183,36,mname
front164,457,514,160,24,dob
front181,39,61,1030,642,front
front181,456,431,261,36,fname
front181,506,622,419,41,nid
front181,456,491,194,35,mname
front181,581,552,220,28,dob
front181,457,363,355,28,ename
front181,459,296,401,40,bname
front203,3,14,1020,643,front
front203,404,328,484,40,ename
front203,38,526,203,89,sign
front203,403,254,443,52,bname
front203,472,585,462,40,nid
front203,405,460,184,40,mname
front203,402,396,299,39,fname
front203,558,527,224,29,dob
front110,59,28,1087,684,front
front110,547,631,498,35,nid
front110,101,558,211,107,sign
front110,624,560,244,36,dob
front110,494,430,248,38,fname
front110,495,504,210,32,mname
front110,497,366,411,29,ename
front110,495,291,389,42,bname
front100,1,5,2150,1348,front
front100,694,448,518,81,bname
front100,698,764,526,73,fname
front100,995,1195,468,64,nid
front100,691,946,505,74,mname
front100,998,1094,348,48,dob
front100,694,623,398,41,ename
front100,131,1129,499,161,sign
front102,12,-2,1471,993,front
front102,579,360,582,78,bname
front102,789,760,329,54,dob
front102,580,463,662,41,ename
front102,64,760,286,141,sign
front102,670,851,673,74,nid
front102,581,559,411,52,fname
front102,581,657,386,56,mname
front98,21,22,1017,647,front
front98,420,259,328,51,bname
front98,420,333,504,31,ename
front98,486,592,461,37,nid
front98,571,533,223,28,dob
front98,58,526,196,96,sign
front98,421,401,298,30,fname
front98,418,467,117,35,mname
front108,4,-1,1009,639,front
front108,552,507,229,37,dob
front108,398,235,197,44,bname
front108,400,373,184,33,fname
front108,402,310,363,30,ename
front108,400,438,154,34,mname
front108,47,501,193,95,sign
front108,468,567,461,40,nid
front104,17,48,2473,1574,front
front104,1153,1407,1127,114,nid
front104,1037,1106,689,99,mname
front104,1324,1255,520,80,dob
front104,1043,789,644,65,ename
front104,1048,611,827,99,bname
front104,1044,933,667,83,fname
front104,139,1208,472,174,sign
front86,88,61,1015,641,front
front86,486,303,229,46,bname
front86,124,566,202,95,sign
front86,550,634,467,37,nid
front86,490,438,207,33,fname
front86,640,574,222,28,dob
front86,492,374,275,29,ename
front86,490,507,218,29,mname
front116,1,1,1006,619,front
front116,325,436,275,40,mname
front116,467,558,221,31,nid
front116,325,355,280,35,fname
front116,326,202,280,32,bname
front116,465,510,162,23,dob
front116,326,285,250,21,ename
front116,44,522,259,73,sign
front121,27,13,1024,651,front
front121,500,585,223,31,nid
front121,355,228,293,42,bname
front121,357,383,270,35,fname
front121,355,315,242,19,ename
front121,357,463,171,36,mname
front121,497,537,168,24,dob
front121,101,548,236,82,sign
front260,725,764,1032,653,front
front260,1199,1338,472,40,nid
front260,1136,1011,314,54,bname
front260,1134,1143,224,36,fname
front260,762,1276,201,92,sign
front260,1133,1209,274,35,mname
front260,1291,1280,225,30,dob
front260,1133,1082,423,30,ename
front250,48,18,1021,646,front
front250,515,583,467,35,nid
front250,466,455,180,41,mname
front250,463,390,182,43,fname
front250,588,516,226,28,dob
front250,83,508,208,113,sign
front250,465,257,240,41,bname
front250,463,328,240,25,ename
front242,49,41,1089,682,front
front242,538,643,292,39,nid
front242,635,581,222,30,dob
front242,368,417,358,49,fname
front242,373,280,227,46,bname
front242,370,489,295,39,mname
front242,335,352,340,38,ename
front242,65,531,220,114,sign
front232,7,3,1017,631,front
front232,404,232,373,46,bname
front232,407,430,295,37,mname
front232,561,500,207,29,dob
front232,408,362,386,39,fname
front232,474,560,466,38,nid
front232,407,304,362,28,ename
front232,46,507,198,90,sign
front249,94,8,1010,675,front
front249,420,244,181,41,bname
front249,557,600,223,34,nid
front249,418,401,252,41,fname
front249,416,481,213,40,mname
front249,558,553,159,26,dob
front249,417,329,226,24,ename
front249,171,562,220,74,sign
front241,1,4,1000,623,front
front241,391,231,305,54,bname
front241,392,307,424,31,ename
front241,390,373,230,38,fname
front241,543,505,221,28,dob
front241,296,434,268,34,mname
front241,458,565,464,36,nid
front241,20,500,205,86,sign
front244,2,-2,1007,634,front
front244,319,206,292,37,bname
front244,459,557,222,31,nid
front244,317,444,180,33,mname
front244,318,356,177,37,fname
front244,458,510,170,25,dob
front244,317,290,207,19,ename
front244,46,523,249,80,sign
front243,60,48,1030,647,front
front243,535,614,468,37,nid
front243,482,490,259,38,mname
front243,608,547,224,29,dob
front243,483,424,496,41,fname
front243,104,540,207,91,sign
front243,484,362,513,30,ename
front243,484,283,511,52,bname
front229,80,79,844,528,front
front229,466,542,225,31,nid
front229,335,426,160,36,mname
front229,334,263,290,38,bname
front229,332,373,262,31,fname
front229,539,492,183,24,dob
front229,117,466,152,102,sign
front229,310,320,433,26,ename
front236,3,6,1009,631,front
front236,416,432,279,37,mname
front236,416,366,307,43,fname
front236,417,305,245,25,ename
front236,36,483,209,110,sign
front236,543,491,226,29,dob
front236,468,559,464,35,nid
front236,414,230,241,54,bname
front233,1123,775,637,72,fname
front233,1129,634,634,55,ename
front233,1124,474,448,93,bname
front233,1124,922,430,62,mname
front233,1454,1036,582,59,dob
front225,7,439,694,259,front
front225,275,155,209,36,bname
front225,316,378,312,25,nid
front225,273,290,181,29,mname
front225,31,332,132,61,sign
front225,278,205,296,21,ename
front225,378,338,145,24,dob
front225,274,249,217,26,fname
front225,0,432,703,270,back
front227,2,-4,1283,812,front
front227,561,740,297,42,nid
front227,374,576,246,47,mname
front227,563,676,214,36,dob
front227,375,475,372,41,fname
front227,376,264,481,47,bname
front227,54,701,285,79,sign
front227,377,377,431,30,ename
front220,143,0,1002,650,front
front220,615,571,225,32,nid
front220,467,372,128,34,fname
front220,467,218,211,35,bname
front220,471,452,209,36,mname
front220,469,302,242,22,ename
front220,613,524,168,24,dob
front220,224,543,220,77,sign
front237,11,20,1237,779,front
front237,50,635,246,115,sign
front237,495,476,281,47,fname
front237,575,712,564,46,nid
front237,491,308,252,53,bname
front237,496,401,374,35,ename
front237,681,640,277,35,dob
front237,492,563,201,35,mname
front235,86,56,1017,638,front
front235,499,420,277,42,fname
front235,499,485,216,41,mname
front235,551,613,468,34,nid
front235,498,287,269,44,bname
front235,499,357,297,35,ename
front235,629,547,218,27,dob
front235,121,541,204,102,sign
front238,0,-2,1013,640,front
front238,326,206,285,41,bname
front238,325,443,284,40,mname
front238,466,560,221,31,nid
front238,327,360,255,33,fname
front238,465,513,150,23,dob
front238,61,528,244,80,sign
front234,38,47,1025,636,front
front234,460,479,292,36,mname
front234,512,605,465,37,nid
front234,73,548,207,90,sign
front234,584,542,222,35,dob
front234,461,270,398,45,bname
front234,459,402,303,38,fname
front234,457,346,353,26,ename
front226,406,375,167,22,dob
front226,296,171,175,31,bname
front226,297,229,237,21,ename
front226,345,418,336,29,nid
front226,295,276,189,24,fname
front226,296,322,173,28,mname
front226,40,369,132,65,sign
front226,7,7,741,460,front
front261,1,-1,682,428,front
front261,269,205,229,20,ename
front261,269,160,198,31,bname
front261,314,376,315,26,nid
front261,373,336,154,20,dob
